,Message,Views,Date,Time
417,✅已核實消息因應公眾活動，港鐵港島線人太多時或不停個別車站Source: Now news,16.1K,2019-07-13,19:55
418,✅已核實消息遊行隊伍抵灣仔後繼續向金鐘前進Source: 有線新聞,14.7K,2019-07-13,22:50
419,❌以下內容證實為假新聞法新社女記者在今日上水衝突中，被警察用警棍打傷臉部並搶去相機。-----------涉事記者Yan Zhao在Facebook發文澄清自己非被警察打傷，而是在混亂中被人扯到背包或相機帶，從高處墮地撞傷臉頰和右膝。她表示，曾一度失去相機，但之後尋回，現正在醫院接受治療。https://m.facebook.com/story.php?story_fbid=2382714685120568&id=100001461787167Source: Yan Zhao Facebook,15.0K,2019-07-14,14:28
420,✅已核實消息【沙田休息站】1. 沙田平安福音堂*開放至晚上7時地址：沙田瀝源街7號沙田娛樂城1樓B2695 4433https://maps.app.goo.gl/6nDN8HKvX9HW3cNn92. 沙田浸信會瀝源座堂*開放至晚上8時30分地址：沙田瀝源街1號2691 1962https://maps.app.goo.gl/iRcXdr2118W1YZS393. BEANS Coffee （沙田分店）*下午3時起開放，戶外區將闢作公眾休息區，並免費為公眾添加飲用水地址：新城市中央廣場 (Home Square) 5樓503號舖2777 7078https://maps.app.goo.gl/KdtQ8VcK37unfkf18Source: 沙田平安福音堂網頁、沙田浸信會網頁、Beans Coffee FB,32.8K,2019-07-03,23:11
421,✅已核實消息原定今晚8時舉行的放映會暫停。沙田大會堂百步梯位置，因已獲不反對通知書至晚上11時，將改成安全點作和平集會。Source: 沙田一隅channel,15.3K,2019-07-03,00:28
422,✅已核實消息警方封鎖沙田站連城廣場出入口，大批示威者在新城市廣場聚集未能離開Source: Fact check人員現場消息,17.1K,2019-07-04,23:29
423,✅已核實消息【22:09】港鐵表示，因應沙田站最新情況，現時東鐵綫來回方向列車不停沙田站。Source: 蘋果日報,13.3K,2019-07-04,00:32
424,✅已核實消息2235: 恢復停沙田站服務Source: Now news,13.6K,2019-07-05,11:19
425,✅已核實消息警方在今日沙田衝突中最少拘捕了33人。Source: Now news,12.9K,2019-07-06,14:32
426,"🚫以下內容未有可靠來源網傳一張右手中指斷裂、血肉模糊的照片，指是今日沙田衝突中的斷指警員。---------翻查報道，該圖片來自2015年一則台灣新聞，內容為兩名男子口角下其中一人遭咬斷中指。有關新聞連結如下，圖片可能引起情緒不安，請慎入：https://www.google.com.hk/amp/s/tw.news.yahoo.com/amphtml/%25E5%2585%25A9%25E7%2594%25B7%25E5%2590%25B5%25E6%259E%25B6%25E5%258B%2595%25E6%2589%258B%25E5%258F%2588%25E5%258B%2595%25E5%258F%25A3-%25E5%2592%25AC%25E6%2596%25B7%25E6%2589%258B%25E6%258C%2587%25E5%25B9%25B8%25E6%258E%25A5%25E5%259B%259E-034238105.html根據香港電台片段，該名警員斷裂的應為右手無名指。https://m.facebook.com/story.php?story_fbid=2666123590162347&id=715486135226112Source: Yahoo news, RTHK",12.6K,2019-07-06,00:39
427,✅已核實消息警務處處長盧偉聰在接近2時半見記者，他指對於在沙發生的違法暴力行為感到憤慨，警方會全面調查，追究到底。他稱，多謝過去一個月同事克盡己職，謹守崗位，自6月9日晚起，已有同事受傷，被打到血流披面，其後在6月12日、7月1日等示威活動，警方一直都採取克制容忍的態度，是因為知道社會有人熱切想表達意見。他強調，近來在上水、沙田 等示威活動，每次遊行完結後都有暴力示威者破壞公物、霸路，情況每況愈下，在上水時有4名警察被暴徒圍堵，用硬物、雨傘、鐵枝襲擊，而昨晚在沙田更有示威者主動攻擊警察，情況愈來愈差，形容是令人法指，稱暴徒如同失去常性一樣，反問社會是否要繼續容忍和姑息？他又稱，同事受好大壓力，但受到各方責難，「做嘢就話濫權濫捕，唔做嘢就話設空城計。」他補充指，大家都經歷不少社會嚴重分裂，任何人受傷都不是他希望見到的情況。盧偉聰解釋清場安排，稱因示威者堵路，影響其他人的交通，故開始清場，清場行動是希望示威者慢慢散去，但因有人在商場平台向地面的警員擲磚、硬物，警方需要制止，所以到商場範圍執法。他反問，如果發覺有違法人士走進商場，是否有需要入去？被問到有清場範圍持有警方的不反對通知書，盧偉聰就解釋，是因已有暴力行為發生。盧偉聰並指，昨晚沙田的示威活動已拘捕超過40人，包括一名咬斷警員手指的暴徒。他稱，有10名警員受傷入院，他感到十分難過，有警員有一截手指被咬斷，另有警員被打至面骨、眼骨爆裂，亦有警員被硬物打到頸部、腹部。Source: tvb live,13.8K,2019-07-07,19:13
428,✅已核實消息林鄭月娥今在醫院探望受傷警員後見傳媒，稱感謝警員走到最前線維護治安，形容警員盡忠職守，非常專業、克制，「但竟然受到呢啲暴徒，我覺得真係可以形容做暴徒的肆意襲擊」，並稱大家昨天應看得清楚。她指，如果市民覺得政府不對，可以司法覆核，用合法渠道表達意見。一次又一次和平理性有序的示威，示威完結後，就有一班別有用心的人士進行暴力抗爭，肆意攻擊執法者，直接破壞法治精神。林鄭月娥對所有用暴力抗爭和傷害警隊的人士予以強烈譴責，希望大家都盡一分力維護法治，保護警隊。她表示，繼續全面支持警隊執法，亦支持警隊全面調查，追究到底，警務處和律政司正在研究，會盡快調查完畢，就會提出檢控，讓法庭作出公正裁決。被問到是否曾經向北京請辭，她沒有否認，表示特首任期為5年，她現時雖面對大困難，但有責任完全任內工作。被問到會否回應市民訴求，她稱抗爭行動是因特首修例開始，但一個月前政府已停止相關工作，希望大家明白，其他相關、不相關訴求，已在上周二綜合回應，「不是我個人問題」，希望大家諒解。對於為何不成立獨立調查委員會，林鄭月娥稱，警察是執法人員，有操守、指引，如記者認為警員行為不合適，可向監警會投訴。Source: Now TV live,14.4K,2019-07-07,00:09
429,✅已核實消息保安局局長李家超指示威者暴力程度愈來愈嚴重，夾雜存心行使暴力者，攻擊警員，包括有嚴重使用武力人士不停毆打警員，又使用木棍，他感謝幾位傳媒制止。他表示不可美化、正義化、合理化暴力行為，形容是危險的，並認為示威者是有組織性行動，有物資、口號、手勢，有計劃地堵路及衝擊警方。他對所有暴力予以最強烈譴責，並指出參與暴力行為會有嚴重法律後果。他說，警方有責任採取合理措拖，保護人身安全，此舉是為了維護香港法治和治安，多次感謝警隊在艱難時刻時堅守崗位。Source: Now TV live,12.3K,2019-07-07,00:24
430,🚫以下內容未有可靠來源有人在網上以「7.28將軍澳/港島西大遊行」名義發起眾籌，目標籌集10萬港元。--------發起遊行的義工團隊在tg channel「7.28將軍澳反送中大遊行」澄清，從未發起任何眾籌，團隊拒絕一切外來金錢支援，呼籲市民切勿捐款。Source: 7.28將軍澳反送中大遊行channel,13.8K,2019-07-07,00:33
431,✅已核實消息民陣公布7月21日最新活動安排：下午3時維園集合起步，往終審法院，在遮打道結束遊行民陣得悉各區地區遊行時間有所更改，並考慮到近日局勢，認為將原定的集會改為遊行較為適當。民陣表示有信心721遊行會取得不反對通知書。Source: 民陣Facebook,12.9K,2019-07-09,20:59
432,✅已核實消息張超雄表示，為免令反送中運動失焦及造成爭議，決定撤回私人草案。他說自己已經去信立法會主席梁君彥表達立場，同時在這敏感時刻提出私人草案表示歉意。他提到，自己提出私人草案後，民間有很多善意聲音，現階段對其草案有不少質疑，故作出此決定。他重申自己一路走來均堅持民間五大訴求，將繼續與香港人同行，同時譴責林鄭月娥對潘家毫無承擔。Source: 張超雄Facebook,11.0K,2019-07-10,10:36
433,✅已核實消息網傳民政事務局曾聯絡中學生，擬安排明天與官員會面。民政事務局表示，將不會在明天舉辦青年人與官員的聚會。Source: 民政事務局,12.5K,2019-07-11,00:36
434,✅721遊行資訊時間: 1500集合路線: 維園➡️灣仔盧押道不反對通知書結束時間為23:59民陣會按不反對通知書要求，盡力在終點呼籲遊行人士「立即散去」。有關因人流太多及交通安排等出現的問題，民陣建議市民向警方查詢。Source: 民陣,11.8K,2019-07-12,15:24
435,✅已核實消息因應公眾活動，港鐵港島線人太多時或不停個別車站Source: Now news,11.1K,2019-07-12,18:03
436,✅已核實消息遊行隊伍抵灣仔後繼續向金鐘前進Source: 有線新聞,13.9K,2019-07-13,19:14
437,✅已核實消息有示威者開始佔領夏愨道，現場未見警員阻止。Source: 有線新聞 Live,13.3K,2019-07-13,19:30
438,✅已核實消息警方稱將在西環向東面作出清場行動，呼籲市民抵達遊行終點後盡快離開。Source: 香港警察Facebook,16.1K,2019-07-13,19:55
439,✅已核實消息民陣反修例遊行結束，大會宣布有43萬人參與。Source: RTHK news,13.2K,2019-07-13,22:50
440,✅已核實消息西鐵線列車來回方向不停元朗站，港鐵將安排列車在元朗站接載乘客離開。Source: Now news,14.4K,2019-07-14,14:28
441,✅已核實消息警方在上環舉橙旗，警告示威者「速離，否則開槍」。Source: Cable live,12.0K,2019-07-14,18:01
442,✅已核實消息警方在上環發射橡膠子彈。Source: Cable live,12.6K,2019-07-14,19:01
443,✅已核實消息西鐵線列車來回方向恢復於元朗站上落車Source: now news,12.3K,2019-07-14,21:44
444,✅已核實消息西鐵線來回方向列車在23:45，再度不停元朗站。Source: RTHK,13.0K,2019-07-14,22:15
445,✅已核實消息因應警方要求，元朗站於十一點五十五分關閉Source: RTHK news,13.6K,2019-07-14,22:37
446,✅已核實消息1. 返元朗，需要支援組織：元朗深宵外展隊Tel: 8209 9021 *有車接送2. 返天水圍，需要支援組織：天水圍信義會外展中心Tel: 98729969*有車接送Source: Factcheck人員致電核實,15.2K,2019-07-14,22:40
447,✅已核實消息，如有需要緊急援助，又未能接上999，可致電：1. 消防處：2723 22332. 消防處救護車調派中心2735 3355Source: 消防處網站,13.0K,2019-07-14,23:26
448,✅已核實消息大批身穿白衣手持木棍人士折返元朗站拉起鐵閘追打市民 Source: RTHK news,21.4K,2019-07-14,00:50
449,✅已核實消息以下兩個地點因應元朗情況，開放予有需要人士暫作休息：屯門贖世主堂（會因應情況決定延長開放時間）地址： 屯門鄉事會路二號電話：24596510嶺南大學康樂樓2樓地址：屯門青山公路嶺南段8號時間：即時至翌日嶺南大學學生會呼籲市民直接由兆康站前往嶺南，並於北閘進入。Source: Factcheck 人員致電核查,27.0K,2019-07-14,07:56
450,✅已核實消息醫管局表示，就昨日於元朗西鐵站發生的衝突事件，公立醫院急症室未有接收過任何孕婦或流產個案，並呼籲有需要的病人適時求診。Source: 醫管局,15.5K,2019-07-15,16:02
451,"✅已核實消息屯門V city, 屯門市廣場, 元朗Yoho Mall及元朗廣場大量(約8成)商店已落閘Source: on.cc, 蘋果日報",23.5K,2019-07-15,16:07
452,✅已核實消息張超雄於朗屏現場表示收到「可靠」消息，今日會有刀手。Sources: factcheck 人員現場消息,18.5K,2019-07-16,21:03
453,✅已核實消息林鄭月娥對昨日遊行後西區及中上環的警民衝突予以譴責，指塗污國徽等行為挑戰國家主權，表示警方會依法追究。她又對元朗發生的暴力事件予以譴責，表示香港為法治地方，元朗的施襲行為令人髮指，警務處會全力緝兇。她重申暴力不能解決問題，呼籲市民向暴力說不。被問及是否認為塗污國徽比市民人身安全重要，她表示香港成功落實一國兩制至為重要，塗污國徽踐踏了一國原則。保安局局長李家超重申不能接受暴力，警隊不會姑息暴力行為。他指出近期遊行示威除了增添警隊壓力，亦妨礙了道路使用者和部份經濟活動。再次要求市民不要合理化和美化暴力，呼籲市民與暴力割𥱊。警務處處長盧偉聰譴責暴力行為，表示警方會全力調查。他完全不同意警隊與施暴者有關係，與黑社會勢不兩立，平時日常的反黑、反毒行動造就今日安全的香港。對昨日警隊分別就上環、元朗衝突的人手部署，他表示，警力主要集中照顧港島的暴力衝突，兩個地方發生事件相撞。被問到市民打999求助被斷線、或被提醒「驚就唔好出街」，他表示對以上指控要回去先理解。Source: RTHK Live,20.0K,2019-07-17,16:11
454,✅已核實消息荃灣綠楊新邨地下亦有過半商舖拉閘。荃灣KOLOR管理處表示，將按實際情況，關閉商場。Source: 現場消息、factcheck人員致電核實,15.7K,2019-07-18,18:35
455,✅已核實消息網傳馬鞍山晚上有黑社會召集人馬，社區安全受威脅，利安區議員麥潤培表示，昨晚曾巡查3次，未見白衣人聚集，已聯絡上馬鞍山警民關係組表示正在調查。而現時馬鞍山新港城的店舖如常營業，管理處表示沒有特別提早關門的行動，正在觀察。Source: 麥潤培、factcheck人員詢問核實,16.3K,2019-07-18,23:06
456,✅已核實消息荃灣悅來坊通往荃灣港鐵站的商場通道已相繼關門，市民可改到大窩口港鐵站乘搭地鐵。Source: 現場消息、factcheck人員致電核實,15.4K,2019-07-20,18:58
457,✅已核實消息V city指，按照地契，商場設有24小時通道開放予所有人士使用，商場無法關閉。而有個別商舖自行決定關門。Source: V city Facebook,14.4K,2019-07-21,13:28
458,✅已核實消息港鐵表示，下午大約4時45分，東鐵綫上水站往紅磡方向既月台，有人進入了路軌範圍，影響東鐵綫列車服務。目前東鐵綫粉嶺至羅湖/落馬洲站服務暫停，紅磡至大埔列車服務維持6分鐘一班車，紅磡往來粉嶺則為12分鐘一班車。 港鐵正安排接駁巴士行走受影響車站，接載乘客。Source: 港鐵,13.3K,2019-07-21,14:54
459,✅已核實消息[17:51] 港鐵荃灣站並沒有封站。Source: factcheck人員現場消息,16.1K,2019-07-21,16:51
460,✅已核實消息康文署宣布，基於公眾安全的考慮，元朗區鳳琴街體育館、元朗大球場、朗屏體育館、元朗游泳池、元朗劇院及元朗文化康樂大樓的文康設施提早於下午7時關閉。Source: RTHK news,13.2K,2019-07-13,22:50
461,✅已核實消息警方就昨晚元朗圍毆事件拘捕兩名男子，涉嫌非法集結。Source: Cable news,14.4K,2019-07-14,14:28
462,✅已核實消息警方再拘捕多兩人 懷疑涉及元朗暴力事件 至今共拘捕四人Source: Now news,12.0K,2019-07-14,18:01
463,✅已核實消息警方共拘捕五人 懷疑涉及元朗襲擊事件 涉嫌非法集結Source: Now news,12.6K,2019-07-14,19:01
464,✅已核實消息警方拘捕六名男子涉元朗襲擊事件Source: cable news,12.3K,2019-07-14,21:44
465,✅已證實消息元朗白衣人襲擊市民事件中，曾有人稱有孕婦被襲，但醫管局後稱沒接收過孕婦個案。不過當事人趙小姐今透過短訊向《明報》表示，自己懷孕不足3個月，早前不想公開資料，但因網上言論過分，批評她是做戲，而決定澄清。她又說已向診所求醫，胎兒平安。趙小姐又指出，自己當晚無向醫護透露自己懷孕，醫護亦無查詢。Source : 明報,13.0K,2019-07-14,22:15
466,⭕️26/7-28/7活動整合———————————————-26/7機場集會時間: 1300-2359地點: 機場1號客運大樓 接機大堂*主辦方建議參加者身穿黑衣，已經與機場管理局、警民關係科及各個相關部門開會，會再公布最新資訊———————————————-27/71. 嶺南人自組「Homecoming Day」，向校方表達罷免何氏校董一職之訴求時間：1100-1400地點：嶺南大學2. 光復元朗遊行時間：1500路線：水邊村遊樂場➡️元朗西鐵站*不反對通知書申請中————————————————28/7中上環追究開槍大遊行時間：下午三時集合，三時半起步路線：中環遮打花園遊行➡️上環中山紀念公園服飾：黑衣、頭盔、口罩*主辦方已於星期三下午就遊行意向通知警方,13.6K,2019-07-14,22:37
467,✅已核實消息警方就光復元朗遊行發反對通知書Source: Cable news,15.2K,2019-07-14,22:40
468,✅已核實資訊警方表示，星期日在上環的衝突，使用了五十五枚催淚彈，五發橡膠子彈和二十四發海綿彈。Source: Cable news,13.0K,2019-07-14,23:26
469,⭕️26/7-4/8活動整合———————————————-26/7機場集會時間: 1300-2359 (1600會有記者採訪)地點: 機場1號客運大樓 接機大堂Hall B*已獲發不反對通知書，主辦方建議參加者身穿黑衣———————————————-27/71. 嶺南人自組「Homecoming Day」，向校方表達罷免何氏校董一職之訴求時間：1100-1400地點：嶺南大學2. 光復元朗遊行時間：1500路線：水邊村遊樂場➡️元朗西鐵站*警方就活動發出反對通知書，主辦方表明會上訴同日有網民發起到元朗悼念已故中國領導人李鵬先生，亦有不少人打算到元朗購物、觀光、做運動等————————————————28/7中上環追究開槍大遊行時間：下午三時集合，三時半起步路線：中環遮打花園遊行➡️上環中山紀念公園服飾：黑衣、頭盔、口罩*主辦方已於星期三下午就遊行意向通知警方，待發不反對通知書————————————————4/8 1. 將軍澳反送中大遊行時間: 13:30集合 14:30出發路線: 寶翠公園➡️將軍澳單車館公園*遊行原定於7月28日舉行，現改期至8月4日，不反對通知書申請中2. 港島西大遊行時間: 16:00集合 16:30出發(可視乎人數提早出發)路線: 科士街臨時遊樂場➡️中山紀念公園*遊行原定於7月28日舉行，現改期至8月4日，不反對通知書申請中,21.4K,2019-07-14,00:50
470,✅已核實消息4名元朗居民通知警方計劃明日舉行遊行，要求發出不反對通知書，警方晚上發出反對通知書。總結而言，警方就所有元朗遊行申請發出反對通知書。Source: RTHK news,27.0K,2019-07-14,07:56
471,✅已核實消息警方就星期日由中環遮打花園至西營盤中山紀念公園的遊行發出反對通知書，並禁止在中山紀念公園進行集會；但不反對當日在遮打花園舉行公眾集會。Source: 警務處,15.5K,2019-07-15,16:02
472,✅已核實消息荃灣綠楊新邨地下亦有過半商舖拉閘。荃灣KOLOR管理處表示，將按實際情況，關閉商場。Source: 現場消息、factcheck人員致電核實,23.5K,2019-07-15,16:07
473,✅已核實消息網傳馬鞍山晚上有黑社會召集人馬，社區安全受威脅，利安區議員麥潤培表示，昨晚曾巡查3次，未見白衣人聚集，已聯絡上馬鞍山警民關係組表示正在調查。而現時馬鞍山新港城的店舖如常營業，管理處表示沒有特別提早關門的行動，正在觀察。Source: 麥潤培、factcheck人員詢問核實,18.5K,2019-07-16,21:03
474,✅已核實消息荃灣悅來坊通往荃灣港鐵站的商場通道已相繼關門，市民可改到大窩口港鐵站乘搭地鐵。Source: 現場消息、factcheck人員致電核實,20.0K,2019-07-17,16:11
475,✅已核實消息V city指，按照地契，商場設有24小時通道開放予所有人士使用，商場無法關閉。而有個別商舖自行決定關門。Source: V city Facebook,15.7K,2019-07-18,18:35
476,✅已核實消息港鐵表示，下午大約4時45分，東鐵綫上水站往紅磡方向既月台，有人進入了路軌範圍，影響東鐵綫列車服務。目前東鐵綫粉嶺至羅湖/落馬洲站服務暫停，紅磡至大埔列車服務維持6分鐘一班車，紅磡往來粉嶺則為12分鐘一班車。 港鐵正安排接駁巴士行走受影響車站，接載乘客。Source: 港鐵,16.3K,2019-07-18,23:06
477,✅已核實消息[17:51] 港鐵荃灣站並沒有封站。Source: factcheck人員現場消息,15.4K,2019-07-20,18:58
478,✅已核實消息康文署宣布，基於公眾安全的考慮，元朗區鳳琴街體育館、元朗大球場、朗屏體育館、元朗游泳池、元朗劇院及元朗文化康樂大樓的文康設施提早於下午7時關閉。Source: RTHK news,14.4K,2019-07-21,13:28
479,✅已核實消息警方就昨晚元朗圍毆事件拘捕兩名男子，涉嫌非法集結。Source: Cable news,14.4K,2019-07-21,14:54
480,✅已核實消息警方再拘捕多兩人 懷疑涉及元朗暴力事件 至今共拘捕四人Source: Now news,16.6K,2019-07-21,16:51
481,✅已核實消息警方共拘捕五人 懷疑涉及元朗襲擊事件 涉嫌非法集結Source: Now news,14.7K,2019-07-21,17:14
482,✅已核實消息警方拘捕六名男子涉元朗襲擊事件Source: cable news,20.6K,2019-07-21,20:11
483,✅已證實消息元朗白衣人襲擊市民事件中，曾有人稱有孕婦被襲，但醫管局後稱沒接收過孕婦個案。不過當事人趙小姐今透過短訊向《明報》表示，自己懷孕不足3個月，早前不想公開資料，但因網上言論過分，批評她是做戲，而決定澄清。她又說已向診所求醫，胎兒平安。趙小姐又指出，自己當晚無向醫護透露自己懷孕，醫護亦無查詢。Source : 明報,23.7K,2019-07-21,20:51
484,⭕️26/7-28/7活動整合———————————————-26/7機場集會時間: 1300-2359地點: 機場1號客運大樓 接機大堂*主辦方建議參加者身穿黑衣，已經與機場管理局、警民關係科及各個相關部門開會，會再公布最新資訊———————————————-27/71. 嶺南人自組「Homecoming Day」，向校方表達罷免何氏校董一職之訴求時間：1100-1400地點：嶺南大學2. 光復元朗遊行時間：1500路線：水邊村遊樂場➡️元朗西鐵站*不反對通知書申請中————————————————28/7中上環追究開槍大遊行時間：下午三時集合，三時半起步路線：中環遮打花園遊行➡️上環中山紀念公園服飾：黑衣、頭盔、口罩*主辦方已於星期三下午就遊行意向通知警方,37.6K,2019-07-21,23:09
485,✅已核實消息警方就光復元朗遊行發反對通知書Source: Cable news,20.8K,2019-07-21,23:11
486,✅已核實資訊警方表示，星期日在上環的衝突，使用了五十五枚催淚彈，五發橡膠子彈和二十四發海綿彈。Source: Cable news,16.9K,2019-07-21,23:14
487,⭕️26/7-4/8活動整合———————————————-26/7機場集會時間: 1300-2359 (1600會有記者採訪)地點: 機場1號客運大樓 接機大堂Hall B*已獲發不反對通知書，主辦方建議參加者身穿黑衣———————————————-27/71. 嶺南人自組「Homecoming Day」，向校方表達罷免何氏校董一職之訴求時間：1100-1400地點：嶺南大學2. 光復元朗遊行時間：1500路線：水邊村遊樂場➡️元朗西鐵站*警方就活動發出反對通知書，主辦方表明會上訴同日有網民發起到元朗悼念已故中國領導人李鵬先生，亦有不少人打算到元朗購物、觀光、做運動等————————————————28/7中上環追究開槍大遊行時間：下午三時集合，三時半起步路線：中環遮打花園遊行➡️上環中山紀念公園服飾：黑衣、頭盔、口罩*主辦方已於星期三下午就遊行意向通知警方，待發不反對通知書————————————————4/8 1. 將軍澳反送中大遊行時間: 13:30集合 14:30出發路線: 寶翠公園➡️將軍澳單車館公園*遊行原定於7月28日舉行，現改期至8月4日，不反對通知書申請中2. 港島西大遊行時間: 16:00集合 16:30出發(可視乎人數提早出發)路線: 科士街臨時遊樂場➡️中山紀念公園*遊行原定於7月28日舉行，現改期至8月4日，不反對通知書申請中,22.8K,2019-07-21,23:25
488,✅已核實消息4名元朗居民通知警方計劃明日舉行遊行，要求發出不反對通知書，警方晚上發出反對通知書。總結而言，警方就所有元朗遊行申請發出反對通知書。Source: RTHK news,19.1K,2019-07-21,00:00
489,✅已核實消息警方就星期日由中環遮打花園至西營盤中山紀念公園的遊行發出反對通知書，並禁止在中山紀念公園進行集會；但不反對當日在遮打花園舉行公眾集會。Source: 警務處,16.6K,2019-07-21,00:04
490,✅已核實消息港鐵在月台廣播，大圍站有人進入路軌，列車服務受阻，來往九龍塘至沙田暫停服務，九龍塘至紅磡10分鐘一班，沙田至羅湖則6分鐘一班。港鐵正安排接駁巴士到受影響車站，呼籲乘客考慮使用其他交通工具。Source: Factcheck人員現場消息、RTHK news,16.6K,2019-07-21,00:24
491,✅已核實消息示威者與警方於元朗南邊圍對峙，舉起紅旗要求停止衝擊。警方呼籲市民盡快離開元朗區。Source: RTHK news,18.8K,2019-07-21,00:33
492,✅已核實消息警方於元朗大馬路近元朗廣場舉起黑旗，隨後施放催淚彈。Source: cable live,19.8K,2019-07-21,00:37
493,[反送中]Fact Check Channel pinned «✅已核實消息：727外出休息站  休息地方：  元朗區：  1. 基督教香港信義會生命堂 開放時間：下午2:00-9:00 地址：元朗安寧路115至137號（近朗屏地鐵站） Google map https://goo.gl/maps/4PsbwtRR2ZYuKt9CA 電話： 2478-6913  2. 宣道會元基堂 開放時間：下午3:00-晚上9:30 地址：元朗康樂路嘉好樓2樓（近朗屏地鐵站） Google: https://goo.gl/maps/KFXiReuk2wUHAZTv8 義工支援： 傾談…»,40.4K,2019-07-21,00:42
494,❌以下內容證實為假消息消息指西鐵列車不停元朗站。-----[17:40]Fact check人員在元朗站現場，證實列車服務仍然正常運作。Source: fact check人員現場消息,24.3K,2019-07-22,10:55
495,✅已核實消息一Yoho Midtown住戶已預約會所為急救站。有需要人士可聯絡陳先生：9319 6609*切勿濫用*Source: Factcheck人員致電核實,18.0K,2019-07-22,12:58
496,✅已核實消息警方西邊圍舉旗示意示威者速離，否則開槍。Source: RTHK live,17.4K,2019-07-22,14:33
497,✅已核實消息警方於朗業街施發催淚彈。Source: Now live,26.0K,2019-07-22,15:56
498,✅已核實消息西鐵架空路軌證實被催淚彈擊中，但不影響西鐵運作。Source: HK01,20.4K,2019-07-22,16:01
499,✅已核實消息港鐵應警方要求安排特別列車在朗屏站接載乘客離開車站 其他列車現時不停朗屏站Source: Now news,21.4K,2019-07-22,16:05
500,✅已核實消息元朗西鐵站下一停車場，有市民在一架私家車內發現藤條等物資，再打開車尾箱後發現，車尾箱藏有武士刀、木棍、藤條等物資，車尾箱另外有一頂疑似公安帽。暫時未知物品屬於何人。Source: fact check人員現場消息,20.4K,2019-07-22,16:21
501,✅已核實消息醫管局表示，截至晚上9時，8男1女送往博愛醫院，年齡介乎22至56歲，5人嚴重，4人情況穩定。Source: 醫管局,19.8K,2019-07-22,16:56
502,✅已核實消息醫管局表示，截至11點有17個傷者，其中10個仍然留醫（2個嚴重，8個穩定），7個已經出院Source: 醫管局,20.7K,2019-07-22,17:01
503,✅已核實消息警方在西區警署外展示黃旗警告Source: cable news,22.3K,2019-07-22,17:12
504,✅已核實消息警方在干諾道西舉黑旗，並向示威者發射催淚彈。Source: Now news,23.4K,2019-07-22,17:23
505,✅已核實消息警方在晚上7時發稿，指正由西向東進行驅散行動，並施放催淚煙，呼籲在場人士盡快離開，切勿衝擊警方防線，如非必要切勿前往有關地區。Source: 香港警察FB,21.5K,2019-07-22,17:53
506,✅已核實消息港鐵預計上環及西營盤一帶有較多群眾，個別車站因應情況或實施客流管理措施。Source: Now news,22.4K,2019-07-22,19:58
507,[反送中]Fact Check Channel pinned «✅已核實消息  728中環遮打花園集會附近休息站 *是次集會獲批不反對通知書  1. 循道衛理聯合教會香港堂 開放時間：開放至晚上十時 地址： 灣仔軒尼斯道36號 https://maps.app.goo.gl/3nrBmGu79CHJepxo8  2. 聖母聖衣堂 開放時間：開放至晚上十時（但會按需要延長開放，最新情況可以上該教堂面書專頁查閱） 地址：灣仔星街一號 Google map： https://goo.gl/maps/PGDkV9VobS5saQNHA  3. Around Wellington…»,23.8K,2019-07-22,21:04
508,✅已核實消息港鐵因應警方要求，晚上8時起港鐵線列車服務只維持來往上環至柴灣站；西營盤、香港大學及堅尼地城站列車服務暫停。Source: MTR app,23.2K,2019-07-22,21:25
509,✅已核實消息港鐵在月台廣播，大圍站有人進入路軌，列車服務受阻，來往九龍塘至沙田暫停服務，九龍塘至紅磡10分鐘一班，沙田至羅湖則6分鐘一班。港鐵正安排接駁巴士到受影響車站，呼籲乘客考慮使用其他交通工具。Source: Factcheck人員現場消息、RTHK news,23.6K,2019-07-22,22:48
510,✅已核實消息示威者與警方於元朗南邊圍對峙，舉起紅旗要求停止衝擊。警方呼籲市民盡快離開元朗區。Source: RTHK news,22.5K,2019-07-22,00:28
511,✅已核實消息警方於元朗大馬路近元朗廣場舉起黑旗，隨後施放催淚彈。Source: cable live,20.6K,2019-07-23,23:10
512,[反送中]Fact Check Channel pinned «✅已核實消息：727外出休息站  休息地方：  元朗區：  1. 基督教香港信義會生命堂 開放時間：下午2:00-9:00 地址：元朗安寧路115至137號（近朗屏地鐵站） Google map https://goo.gl/maps/4PsbwtRR2ZYuKt9CA 電話： 2478-6913  2. 宣道會元基堂 開放時間：下午3:00-晚上9:30 地址：元朗康樂路嘉好樓2樓（近朗屏地鐵站） Google: https://goo.gl/maps/KFXiReuk2wUHAZTv8 義工支援： 傾談…»,18.5K,2019-07-23,01:25
513,❌以下內容證實為假消息消息指西鐵列車不停元朗站。-----[17:40]Fact check人員在元朗站現場，證實列車服務仍然正常運作。Source: fact check人員現場消息,56.2K,2019-07-24,00:24
514,✅已核實消息一Yoho Midtown住戶已預約會所為急救站。有需要人士可聯絡陳先生：9319 6609*切勿濫用*Source: Factcheck人員致電核實,18.9K,2019-07-25,16:17
515,✅已核實消息警方西邊圍舉旗示意示威者速離，否則開槍。Source: RTHK live,21.3K,2019-07-25,19:37
516,✅已核實消息警方於朗業街施發催淚彈。Source: Now live,17.1K,2019-07-25,23:17
517,✅已核實消息西鐵架空路軌證實被催淚彈擊中，但不影響西鐵運作。Source: HK01,17.9K,2019-07-26,20:03
